Num episodes,Cumulative rewards
700,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
710,"[-1499, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
720,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
730,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1499, -1500, -1500]"
740,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
750,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
760,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
770,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
780,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
790,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
800,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
810,"[-1499, -1500, -1500, -1499, -1500, -1500, -1500, -1499, -1500, -1499]"
820,"[-1500, -1500, -2886, -1500, -1500, -1500, -1500, -1500, -1500, -1499]"
830,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -6450]"
840,"[-1500, -1500, -1499, -1500, -1500, -1500, -1500, -1499, -1500, -1500]"
850,"[-1500, -1500, -1500, -1500, -1499, -1500, -1500, -1500, -1500, -1500]"
860,"[-1500, -1500, -1500, -1500, -1500, -1499, -1500, -1500, -1500, -1499]"
870,"[-1500, -43179, -1500, -1500, -1499, -1500, -1500, -1500, -1500, -1500]"
880,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
890,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
900,"[-1500, -1500, -1499, -1500, -1500, -1500, -1499, -1500, -1500, -1500]"
910,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
920,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
930,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
940,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1499, -1500]"
950,"[-1500, -1500, -104163, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
960,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
970,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
980,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
990,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1000,"[-1500, -1500, -1500, -52386, -1500, -1500, -1500, -1500, -1500, -1500]"
1010,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1020,"[-1500, -1500, -1500, -1499, -1500, -1500, -1500, -1500, -1500, -1500]"
1030,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1499, -1500]"
1040,"[-1499, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1499]"
1050,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1060,"[-1500, -1500, -1500, -1500, -1500, -1499, -1499, -1500, -1500, -1500]"
1070,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1080,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1090,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1100,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1110,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1120,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1130,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1140,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1150,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1160,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1170,"[-1499, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1180,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1190,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1200,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1210,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1220,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1230,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1240,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1250,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1260,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1270,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1280,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1290,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1300,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1310,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1320,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1330,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1340,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1350,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1360,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1370,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1380,"[-1500, -1500, -1499, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1390,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1400,"[-1500, -1500, -1500, -1500, -1500, -1500, -1499, -1500, -1500, -1500]"
1410,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1420,"[-1499, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1499]"
1430,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1440,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1450,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1460,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1470,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1480,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1490,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1500,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
1510,"[-1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500, -1500]"
