Num episodes,Cumulative rewards
900,"[1000, 0, 0, 1000, 0, 1000, 0, 0, 0, 0]"
910,"[1000, 0, 1000, 1000, 0, 1000, 1000, 0, 0, 0]"
920,"[0, 0, 0, 0, 1000, 0, 1000, 0, 1000, 0]"
930,"[0, 0, 1000, 0, 0, 0, 1000, 1000, 0, 0]"
940,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]"
950,"[0, 1000, 0, 0, 0, 1000, 0, 0, 0, 0]"
960,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
970,"[0, 0, 0, 0, 1000, 0, 0, 1000, 0, 0]"
980,"[0, 0, 1000, 0, 0, 1000, 1000, 0, 0, 0]"
990,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1000,"[1000, 1000, 0, 0, 0, 0, 1000, 1000, 0, 0]"
1010,"[0, 0, 1000, 0, 0, 1000, 0, 1000, 0, 0]"
1020,"[0, 0, 0, 1000, 0, 1000, 0, 0, 0, 0]"
1030,"[0, 0, 0, 1000, 1000, 0, 0, 0, 0, 0]"
1040,"[0, 0, 1000, 0, 0, 0, 1000, 0, 0, 0]"
1050,"[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0]"
1060,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1070,"[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]"
1080,"[0, 0, 0, 1000, 1000, 0, 0, 0, 0, 0]"
1090,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1100,"[0, 0, 0, 0, 0, 0, 1000, 0, 1000, 0]"
1110,"[1000, 1000, 0, 0, 0, 0, 0, 0, 0, 1000]"
1120,"[0, 0, 1000, 0, 1000, 0, 0, 0, 0, 0]"
1130,"[0, 0, 0, 1000, 0, 0, 1000, 0, 0, 0]"
1140,"[0, 0, 1000, 0, 0, 0, 1000, 0, 0, 0]"
1150,"[1000, 0, 1000, 0, 1000, 0, 0, 1000, 1000, 0]"
1160,"[1000, 0, 0, 0, 0, 0, 0, 0, 0, 1000]"
1170,"[0, 1000, 0, 0, 0, 0, 0, 1000, 0, 0]"
1180,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1190,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1200,"[0, 1000, 0, 0, 0, 0, 0, 0, 1000, 0]"
1210,"[0, 0, 0, 0, 1000, 0, 1000, 0, 0, 0]"
1220,"[0, 0, 0, 0, 1000, 1000, 0, 1000, 0, 0]"
1230,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1240,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]"
1250,"[0, 0, 1000, 0, 1000, 0, 0, 0, 0, 0]"
1260,"[0, 1000, 0, 1000, 0, 0, 0, 0, 0, 0]"
