Num episodes,Cumulative rewards
580,"[806.0, 871.0, 872.0, 805.0, 878.0, 806.0, 805.0, -200.0, 804.0, 803.0]"
590,"[810.0, 805.0, 801.0, 805.0, -200.0, 805.0, 806.0, 806.0, 879.0, 888.0]"
600,"[806.0, 804.0, 806.0, 855.0, 804.0, 801.0, 803.0, 806.0, 804.0, 874.0]"
610,"[829.0, 877.0, 874.0, 877.0, 829.0, 877.0, 873.0, 804.0, 806.0, 805.0]"
620,"[870.0, 805.0, 806.0, 859.0, 806.0, 874.0, 846.0, 877.0, 840.0, -200.0]"
630,"[806.0, 804.0, 803.0, -200.0, 804.0, 801.0, 873.0, 877.0, 874.0, 806.0]"
640,"[877.0, 802.0, 801.0, 804.0, 878.0, 804.0, 878.0, 801.0, 864.0, 805.0]"
650,"[879.0, 806.0, 803.0, 806.0, 803.0, 804.0, 878.0, 805.0, 871.0, 803.0]"
660,"[872.0, 802.0, 801.0, 806.0, 852.0, 803.0, 805.0, 803.0, 806.0, 804.0]"
670,"[863.0, 804.0, 804.0, 805.0, 802.0, 805.0, 803.0, 806.0, -200.0, 803.0]"
680,"[878.0, 872.0, 876.0, 878.0, 877.0, 877.0, 805.0, -200.0, 855.0, 874.0]"
690,"[873.0, 804.0, 801.0, 803.0, 878.0, 879.0, 877.0, 804.0, 805.0, 805.0]"
700,"[804.0, 805.0, 804.0, 871.0, -200.0, 879.0, 806.0, -200.0, 804.0, 877.0]"
710,"[871.0, 805.0, 805.0, -200.0, 805.0, 877.0, -200.0, 804.0, 805.0, 877.0]"
720,"[801.0, 804.0, 877.0, 878.0, 879.0, 806.0, 880.0, -200.0, 806.0, 802.0]"
730,"[803.0, 878.0, 806.0, 871.0, 806.0, 805.0, 803.0, 862.0, 802.0, 878.0]"
740,"[803.0, 805.0, 878.0, 871.0, 806.0, 857.0, 871.0, -200.0, 872.0, 805.0]"
750,"[812.0, 874.0, 802.0, 878.0, 806.0, 843.0, 804.0, 863.0, 804.0, 879.0]"
760,"[806.0, 853.0, 806.0, 877.0, 805.0, 806.0, 805.0, 804.0, 806.0, 873.0]"
770,"[806.0, 859.0, -200.0, 878.0, 803.0, 878.0, 872.0, 803.0, 804.0, 873.0]"
780,"[871.0, 855.0, 810.0, 879.0, 872.0, 879.0, 805.0, 804.0, 805.0, 801.0]"
790,"[878.0, 803.0, 806.0, 805.0, 805.0, 851.0, 878.0, 803.0, 801.0, 854.0]"
800,"[805.0, 870.0, 806.0, 849.0, 802.0, 805.0, 879.0, 810.0, 803.0, 805.0]"
810,"[805.0, 801.0, 805.0, 806.0, 806.0, 879.0, 801.0, 806.0, 874.0, 804.0]"
820,"[804.0, 801.0, 878.0, 850.0, 877.0, 879.0, -200.0, -200.0, 802.0, 874.0]"
830,"[852.0, 855.0, 856.0, 806.0, -200.0, 805.0, 804.0, 878.0, 805.0, 873.0]"
840,"[804.0, 805.0, 804.0, 849.0, 803.0, 806.0, 806.0, 806.0, 864.0, 878.0]"
850,"[874.0, 878.0, 870.0, -200.0, 805.0, -200.0, 805.0, 804.0, 859.0, 874.0]"
860,"[878.0, 805.0, 805.0, 878.0, 801.0, -200.0, 819.0, -200.0, 804.0, 806.0]"
870,"[877.0, 865.0, -200.0, 877.0, 861.0, 805.0, 852.0, -200.0, 806.0, 802.0]"
880,"[803.0, 805.0, 877.0, 801.0, 876.0, 878.0, 801.0, 871.0, 878.0, 812.0]"
890,"[-200.0, 844.0, 805.0, 806.0, 805.0, 805.0, 805.0, 841.0, 804.0, 806.0]"
900,"[-200.0, 805.0, 871.0, 877.0, -200.0, 805.0, 803.0, 806.0, 871.0, 877.0]"
910,"[805.0, 877.0, 806.0, 875.0, 804.0, 803.0, 802.0, 870.0, 804.0, 872.0]"
920,"[805.0, -200.0, 806.0, 804.0, 878.0, -200.0, 804.0, 806.0, 805.0, 878.0]"
930,"[805.0, -200.0, 805.0, -200.0, 805.0, 805.0, 806.0, 804.0, 858.0, 879.0]"
940,"[879.0, 874.0, 806.0, -200.0, -200.0, 803.0, 805.0, 872.0, 877.0, 879.0]"
950,"[805.0, 879.0, 844.0, 804.0, -200.0, 875.0, 878.0, 804.0, 803.0, 804.0]"
960,"[874.0, 804.0, 863.0, 805.0, 875.0, 872.0, 864.0, 804.0, 802.0, 801.0]"
970,"[-200.0, 870.0, 806.0, 879.0, 805.0, 804.0, 806.0, 858.0, 805.0, 844.0]"
980,"[806.0, -200.0, 878.0, 861.0, 874.0, 879.0, 877.0, 805.0, 805.0, 805.0]"
990,"[805.0, 878.0, 858.0, 801.0, 806.0, 803.0, 804.0, 804.0, 803.0, 803.0]"
1000,"[-200.0, 879.0, 805.0, 804.0, 805.0, 805.0, 803.0, 806.0, 874.0, 806.0]"
1010,"[854.0, 871.0, 805.0, 872.0, 804.0, 805.0, 853.0, 803.0, 805.0, 805.0]"
1020,"[878.0, 863.0, 806.0, 875.0, 805.0, 877.0, 871.0, 804.0, 806.0, 870.0]"
1030,"[805.0, 870.0, 805.0, 805.0, -200.0, 806.0, -200.0, 802.0, 805.0, 805.0]"
1040,"[803.0, 806.0, 878.0, 806.0, 878.0, 804.0, 806.0, 806.0, 805.0, 877.0]"
1050,"[865.0, 805.0, 876.0, 878.0, 852.0, 876.0, 878.0, 806.0, 803.0, 878.0]"
1060,"[806.0, 862.0, 804.0, 804.0, 805.0, 804.0, 805.0, 806.0, 802.0, 876.0]"
1070,"[805.0, 874.0, -200.0, 803.0, 856.0, -200.0, 805.0, 878.0, -200.0, 804.0]"
1080,"[878.0, 806.0, 801.0, 878.0, 801.0, 859.0, 802.0, 805.0, 874.0, 878.0]"
1090,"[-200.0, 872.0, 857.0, 847.0, 805.0, 877.0, 878.0, 870.0, 803.0, 846.0]"
1100,"[804.0, 878.0, 803.0, 803.0, 805.0, 841.0, 879.0, 871.0, 805.0, 803.0]"
1110,"[858.0, 805.0, 806.0, 806.0, 806.0, 843.0, 880.0, 806.0, 805.0, 806.0]"
1120,"[804.0, 878.0, 876.0, 859.0, 801.0, 806.0, 805.0, 802.0, 874.0, 803.0]"
1130,"[-200.0, 848.0, 805.0, 805.0, 802.0, 840.0, 804.0, 806.0, -200.0, -200.0]"
1140,"[-200.0, 804.0, 878.0, 806.0, 804.0, 805.0, 876.0, 876.0, 803.0, 875.0]"
1150,"[878.0, 804.0, 806.0, 877.0, 877.0, 804.0, 873.0, 878.0, 806.0, -200.0]"
1160,"[804.0, 805.0, 806.0, 872.0, 863.0, 804.0, 805.0, 803.0, 853.0, 803.0]"
1170,"[806.0, 878.0, 806.0, 875.0, 805.0, -200.0, 878.0, 873.0, 804.0, 803.0]"
1180,"[805.0, 806.0, 804.0, 805.0, 804.0, -200.0, 857.0, 805.0, 803.0, 878.0]"
1190,"[842.0, 875.0, 805.0, 801.0, 806.0, 878.0, 879.0, 804.0, 879.0, 812.0]"
1200,"[801.0, 878.0, 859.0, -200.0, 879.0, 805.0, -200.0, 804.0, 806.0, 805.0]"
1210,"[-200.0, 803.0, 804.0, 877.0, -200.0, 804.0, -200.0, 859.0, 857.0, 806.0]"
1220,"[804.0, -200.0, 871.0, 803.0, 803.0, 804.0, 805.0, 805.0, 803.0, 806.0]"
1230,"[878.0, 879.0, 806.0, -200.0, 879.0, 805.0, 880.0, 805.0, 855.0, 805.0]"
1240,"[804.0, 805.0, 806.0, 805.0, 875.0, 804.0, -200.0, 878.0, 804.0, -200.0]"
1250,"[876.0, 806.0, 804.0, 848.0, 878.0, 874.0, 865.0, 806.0, 878.0, 806.0]"
1260,"[801.0, 878.0, 879.0, 805.0, 878.0, 804.0, 878.0, 803.0, 803.0, 879.0]"
1270,"[879.0, 878.0, 805.0, 879.0, 805.0, 804.0, 806.0, 801.0, 804.0, 806.0]"
1280,"[865.0, 805.0, 872.0, 804.0, 860.0, 857.0, 804.0, 803.0, 878.0, 802.0]"
1290,"[878.0, 804.0, 805.0, 805.0, 878.0, 876.0, 874.0, 805.0, 873.0, 874.0]"
1300,"[803.0, 877.0, 805.0, 860.0, 806.0, -200.0, 878.0, 801.0, 878.0, 804.0]"
1310,"[865.0, 805.0, 805.0, 805.0, 853.0, 875.0, 877.0, 854.0, 871.0, 804.0]"
1320,"[-200.0, 804.0, 874.0, 871.0, 805.0, 806.0, 874.0, -200.0, 805.0, 803.0]"
1330,"[871.0, 803.0, 878.0, 806.0, 806.0, 873.0, 853.0, 878.0, 805.0, 805.0]"
1340,"[805.0, 803.0, 880.0, 803.0, 801.0, 877.0, 806.0, 804.0, 864.0, 804.0]"
1350,"[877.0, 802.0, 806.0, 805.0, 805.0, 857.0, 805.0, 802.0, 859.0, 805.0]"
1360,"[804.0, -200.0, 806.0, 801.0, 806.0, 806.0, 805.0, 806.0, 801.0, 872.0]"
1370,"[806.0, 801.0, 875.0, -200.0, 878.0, 862.0, 803.0, 805.0, 874.0, 812.0]"
1380,"[805.0, 879.0, 878.0, 805.0, 804.0, 878.0, 804.0, 806.0, -200.0, 804.0]"
1390,"[801.0, 805.0, 802.0, 804.0, 874.0, 805.0, 805.0, 871.0, 804.0, 802.0]"
1400,"[804.0, 805.0, 847.0, -200.0, 870.0, 874.0, 805.0, 804.0, 805.0, -200.0]"
1410,"[-200.0, 878.0, 804.0, 805.0, 804.0, 804.0, 872.0, 805.0, 804.0, 873.0]"
1420,"[804.0, 804.0, 804.0, 806.0, 812.0, 806.0, 804.0, 806.0, 870.0, 822.0]"
1430,"[850.0, 805.0, 879.0, 864.0, 805.0, 864.0, 862.0, 804.0, 805.0, 804.0]"
1440,"[870.0, 856.0, 806.0, 804.0, 805.0, 803.0, -200.0, 801.0, 877.0, 804.0]"
1450,"[-200.0, 802.0, 801.0, 818.0, 804.0, 877.0, -200.0, 805.0, 802.0, 878.0]"
1460,"[845.0, 806.0, 879.0, 806.0, 878.0, 804.0, -200.0, 878.0, 806.0, 873.0]"
1470,"[879.0, 877.0, 878.0, 804.0, 805.0, 878.0, 801.0, 803.0, 872.0, 805.0]"
1480,"[805.0, 804.0, 878.0, 876.0, 801.0, 804.0, 850.0, 806.0, 803.0, 859.0]"
1490,"[-200.0, -200.0, 803.0, 801.0, 805.0, 878.0, 857.0, 806.0, 862.0, 859.0]"
1500,"[878.0, 804.0, 802.0, -200.0, 870.0, -200.0, 846.0, 802.0, 879.0, 837.0]"
1510,"[806.0, 806.0, 802.0, 804.0, 879.0, 804.0, 805.0, 806.0, 802.0, -200.0]"
1520,"[805.0, 804.0, -200.0, 871.0, 848.0, 804.0, 802.0, 805.0, 804.0, 874.0]"
1530,"[804.0, 805.0, 805.0, -200.0, 874.0, 803.0, 804.0, 804.0, 887.0, 804.0]"
1540,"[801.0, 879.0, 805.0, 872.0, 805.0, 864.0, 824.0, 804.0, 878.0, 806.0]"
1550,"[862.0, 805.0, 806.0, 804.0, 805.0, 878.0, 806.0, 845.0, -200.0, 806.0]"
1560,"[803.0, -200.0, 833.0, 802.0, 802.0, 870.0, -200.0, 803.0, 858.0, 802.0]"
1570,"[878.0, 805.0, 806.0, -200.0, 806.0, 806.0, 805.0, 806.0, 806.0, 802.0]"
1580,"[804.0, 801.0, -200.0, 805.0, 811.0, 803.0, 849.0, 806.0, 872.0, 805.0]"
1590,"[802.0, 806.0, 864.0, 801.0, 879.0, 805.0, 879.0, 862.0, 878.0, 802.0]"
1600,"[806.0, 878.0, 877.0, 806.0, 804.0, 806.0, 842.0, 806.0, 865.0, 801.0]"
1610,"[805.0, 877.0, 878.0, 806.0, 805.0, 859.0, -200.0, 879.0, 877.0, 802.0]"
1620,"[805.0, 806.0, 863.0, 860.0, 865.0, 806.0, 879.0, 878.0, 870.0, 806.0]"
1630,"[806.0, 804.0, 804.0, 805.0, 806.0, -200.0, 871.0, 872.0, 804.0, 872.0]"
1640,"[804.0, 803.0, 878.0, 804.0, 877.0, 870.0, 806.0, 806.0, -200.0, 871.0]"
1650,"[804.0, 817.0, 805.0, 806.0, 805.0, 805.0, 806.0, 805.0, 803.0, 878.0]"
1660,"[-200.0, 879.0, 806.0, 803.0, 844.0, 878.0, 806.0, 803.0, 805.0, 878.0]"
1670,"[877.0, 804.0, -200.0, 857.0, 804.0, 805.0, 802.0, 804.0, -200.0, -200.0]"
1680,"[855.0, 880.0, 805.0, 802.0, 851.0, 878.0, 803.0, -200.0, 804.0, 862.0]"
1690,"[804.0, 878.0, 879.0, 804.0, 804.0, 805.0, 806.0, 856.0, 804.0, 804.0]"
1700,"[-200.0, 804.0, 805.0, 877.0, 806.0, 804.0, 801.0, 805.0, 805.0, 819.0]"
1710,"[-200.0, 871.0, 806.0, 879.0, 804.0, 855.0, 862.0, 801.0, 871.0, 804.0]"
1720,"[804.0, 878.0, 806.0, 880.0, 806.0, 805.0, 804.0, 805.0, 878.0, 862.0]"
1730,"[806.0, 865.0, 803.0, 805.0, 804.0, 805.0, 806.0, 806.0, 806.0, 815.0]"
1740,"[-200.0, 805.0, 873.0, 873.0, 806.0, 801.0, 805.0, 802.0, 804.0, -200.0]"
1750,"[805.0, 872.0, 804.0, 801.0, 806.0, 805.0, 805.0, 835.0, 804.0, 879.0]"
1760,"[804.0, 879.0, 878.0, 806.0, 806.0, 802.0, 802.0, 804.0, 806.0, 880.0]"
1770,"[806.0, 873.0, 804.0, 877.0, 802.0, 804.0, 806.0, 804.0, 863.0, 805.0]"
1780,"[803.0, 878.0, 877.0, 860.0, 875.0, 836.0, 806.0, 804.0, 806.0, 804.0]"
1790,"[804.0, 805.0, 804.0, 802.0, 805.0, 801.0, 804.0, 803.0, 804.0, 806.0]"
1800,"[806.0, 861.0, 801.0, 856.0, 806.0, 802.0, -200.0, 804.0, 806.0, 804.0]"
1810,"[879.0, 811.0, 879.0, 805.0, 862.0, 804.0, 805.0, 802.0, 804.0, 877.0]"
1820,"[804.0, 805.0, 804.0, 802.0, 805.0, 805.0, 839.0, 805.0, 879.0, 801.0]"
1830,"[878.0, 806.0, 802.0, 806.0, 801.0, 806.0, 802.0, 805.0, 805.0, 806.0]"
1840,"[802.0, 804.0, 860.0, 874.0, 803.0, 879.0, 842.0, -200.0, 806.0, 878.0]"
1850,"[878.0, 875.0, 842.0, 805.0, 806.0, 874.0, 851.0, 806.0, 806.0, 804.0]"
